brand,views,carts,purchases,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate
gigabyte,22759,3152,1741,0.13849466145261216,0.5523477157360406,0.0764972098949866
sirius,9767,897,742,0.09183986894645234,0.8272017837235228,0.07597010340943995
kromax,1463,114,111,0.07792207792207792,0.9736842105263158,0.0758714969241285
fubag,2578,228,194,0.08844065166795965,0.8508771929824561,0.07525213343677269
urban,80,8,6,0.1,0.75,0.075
crucial,388,60,29,0.15463917525773196,0.48333333333333334,0.07474226804123711
epson,6204,580,462,0.09348807221147647,0.7965517241379311,0.07446808510638298
fujitsu-siemens,27,2,2,0.07407407407407407,1.0,0.07407407407407407
chieftec,989,144,73,0.14560161779575329,0.5069444444444444,0.07381193124368049
dyp,68,6,5,0.08823529411764706,0.8333333333333334,0.07352941176470588
logitech,4164,360,306,0.08645533141210375,0.85,0.07348703170028818
kenweiipc,218,23,16,0.10550458715596331,0.6956521739130435,0.07339449541284404
acmepower,110,6,8,0.05454545454545454,1.3333333333333333,0.07272727272727272
topon,6545,523,474,0.0799083269671505,0.9063097514340345,0.07242169595110771
hyperx,1248,219,90,0.17548076923076922,0.410958904109589,0.07211538461538461
continent,209,9,15,0.0430622009569378,1.6666666666666667,0.07177033492822966
explay,14,1,1,0.07142857142857142,1.0,0.07142857142857142
hp,9706,785,691,0.08087780754172677,0.8802547770700637,0.0711930764475582
masters,99,8,7,0.08080808080808081,0.875,0.0707070707070707
gladwork,85,11,6,0.12941176470588237,0.5454545454545454,0.07058823529411765
sega,1065,92,75,0.0863849765258216,0.8152173913043478,0.07042253521126761
ombra,388,41,27,0.1056701030927835,0.6585365853658537,0.06958762886597938
skymoto,145,14,10,0.09655172413793103,0.7142857142857143,0.06896551724137931
hiper,160,11,11,0.06875,1.0,0.06875
microsoft,2192,229,150,0.10447080291970803,0.6550218340611353,0.06843065693430657
celly,323,26,22,0.0804953560371517,0.8461538461538461,0.06811145510835913
harizma,163,15,11,0.09202453987730061,0.7333333333333333,0.06748466257668712
hyperdrive,15,1,1,0.06666666666666667,1.0,0.06666666666666667
spigen,1654,110,110,0.06650544135429262,1.0,0.06650544135429262
pilotage,655,53,43,0.08091603053435115,0.8113207547169812,0.06564885496183206
dewalt,872,62,57,0.07110091743119266,0.9193548387096774,0.06536697247706422
canon,16034,1351,1045,0.08425845079206686,0.7735011102886751,0.0651740052388674
hi-black,1023,93,66,0.09090909090909091,0.7096774193548387,0.06451612903225806
metabo,1803,124,116,0.06877426511369938,0.9354838709677419,0.06433721575152523
huayu,110,7,7,0.06363636363636363,1.0,0.06363636363636363
asrock,8243,871,523,0.10566541307776295,0.600459242250287,0.06344777386873711
mikrotik,1562,135,98,0.08642765685019206,0.725925925925926,0.06274007682458387
kenwood,2364,167,148,0.0706429780033841,0.8862275449101796,0.06260575296108291
kingmax,16,3,1,0.1875,0.3333333333333333,0.0625
parkmaster,369,23,23,0.06233062330623306,1.0,0.06233062330623306
ultramounts,161,11,10,0.06832298136645963,0.9090909090909091,0.062111801242236024
and,98,10,6,0.10204081632653061,0.6,0.061224489795918366
targus,214,8,13,0.037383177570093455,1.625,0.06074766355140187
ipega,664,49,40,0.07379518072289157,0.8163265306122449,0.060240963855421686
pocketbook,2910,227,175,0.07800687285223368,0.7709251101321586,0.06013745704467354
casio,468,35,28,0.07478632478632478,0.8,0.05982905982905983
mxq,117,8,7,0.06837606837606838,0.875,0.05982905982905983
gefest,502,31,30,0.061752988047808766,0.967741935483871,0.05976095617529881
oki,251,29,15,0.11553784860557768,0.5172413793103449,0.05976095617529881
zyxel,569,33,34,0.05799648506151142,1.0303030303030303,0.05975395430579965
hiwatch,67,5,4,0.07462686567164178,0.8,0.05970149253731343
amd,17176,1899,1020,0.1105612482533768,0.5371248025276462,0.05938518863530508
xerox,2496,179,148,0.07171474358974358,0.8268156424581006,0.05929487179487179
pitatel,5434,355,320,0.0653294074346706,0.9014084507042254,0.05888847994111152
